Date,Close/Last,Volume,Open,High,Low
01/27/2025,$282.95,3493163,$277.37,$283.225,$276.18
01/24/2025,$275.42,2008793,$276.26,$277.3625,$273.50
01/23/2025,$277.88,2496017,$273.44,$278.00,$272.32
01/22/2025,$273.44,3518326,$272.66,$275.015,$272.0693
01/21/2025,$274.81,3928543,$272.14,$276.50,$270.28
01/17/2025,$272.11,3244290,$276.97,$276.97,$269.78
01/16/2025,$269.43,2684500,$268.92,$270.31,$267.15
01/15/2025,$268.94,3737536,$269.33,$272.8179,$268.585
01/14/2025,$267.10,2942309,$271.61,$271.61,$264.91
01/13/2025,$270.19,3365901,$262.11,$270.49,$261.28
01/10/2025,$262.23,2721957,$260.79,$264.79,$260.55
01/08/2025,$264.21,2421944,$261.97,$264.25,$259.82
01/07/2025,$262.06,3173716,$260.22,$265.2055,$259.3537
01/06/2025,$258.59,4668535,$259.05,$261.19,$257.05
01/03/2025,$261.22,2979940,$260.00,$262.08,$259.7945
01/02/2025,$259.28,2357964,$262.18,$263.58,$258.31
12/31/2024,$260.64,1966224,$260.75,$261.54,$258.85
12/30/2024,$259.30,3039321,$260.83,$261.56,$258.50
12/27/2024,$262.65,2157454,$261.10,$263.50,$260.51
12/26/2024,$263.18,1637697,$262.21,$264.73,$261.76
12/24/2024,$264.49,1520594,$262.48,$264.55,$261.36
12/23/2024,$264.00,3025799,$263.11,$264.80,$260.87
12/20/2024,$263.38,13687970,$269.00,$269.61,$262.21
12/19/2024,$261.19,4726141,$258.00,$261.805,$253.30
12/18/2024,$258.78,4093576,$265.18,$267.19,$258.68
12/17/2024,$265.95,4742547,$265.46,$270.2561,$264.8085
12/16/2024,$266.50,3711146,$270.62,$272.69,$266.22
12/13/2024,$270.62,2906477,$272.96,$274.065,$270.02
12/12/2024,$274.06,3749225,$273.81,$275.875,$272.15
12/11/2024,$273.41,4493511,$276.00,$276.28,$270.58
12/10/2024,$275.75,2791398,$277.86,$277.90,$272.36
12/09/2024,$277.63,3222458,$273.16,$280.00,$272.28
12/06/2024,$272.58,3970337,$275.01,$275.355,$271.48
12/05/2024,$274.33,3186985,$277.00,$279.04,$273.15
12/04/2024,$278.26,4174137,$275.81,$279.41,$273.855
12/03/2024,$278.32,5468847,$277.00,$281.3799,$276.50
12/02/2024,$278.10,4677815,$282.08,$282.391,$276.89
11/29/2024,$282.87,2232846,$279.455,$283.64,$277.64
11/27/2024,$280.07,6622764,$279.00,$282.69,$278.00
11/26/2024,$280.01,17010330,$264.22,$280.34,$257.80
11/25/2024,$294.00,4695856,$293.55,$297.3235,$293.5001
11/22/2024,$294.53,3053317,$290.84,$295.48,$288.78
11/21/2024,$289.90,3553436,$288.18,$291.11,$284.1435
11/20/2024,$287.87,4759332,$281.10,$288.48,$278.56
11/19/2024,$279.95,3210454,$277.67,$281.5997,$275.56
11/18/2024,$278.76,3175879,$279.38,$281.36,$276.56
11/15/2024,$283.61,5325131,$291.50,$291.50,$279.62
11/14/2024,$295.93,3515674,$297.91,$298.48,$292.325
11/13/2024,$301.44,3725596,$306.00,$307.43,$298.91
11/12/2024,$298.84,6680281,$319.59,$321.22,$293.8017
11/11/2024,$321.81,2457168,$325.91,$327.58,$321.61
11/08/2024,$325.28,1978146,$322.48,$328.25,$321.28
11/07/2024,$321.91,2654860,$322.00,$322.97,$318.5419
11/06/2024,$321.79,2208869,$325.00,$325.39,$318.17
11/05/2024,$319.29,1472342,$316.16,$319.52,$313.0201
11/04/2024,$316.91,2090104,$320.58,$320.58,$314.61
11/01/2024,$319.22,1826772,$318.69,$321.695,$316.91
10/31/2024,$320.16,2713469,$317.69,$323.40,$315.65
10/30/2024,$315.54,2223592,$311.95,$317.905,$310.63
10/29/2024,$316.00,1466737,$317.01,$319.21,$314.82
10/28/2024,$317.17,1815992,$318.06,$320.14,$315.90
10/25/2024,$316.98,1604649,$318.49,$319.20,$314.88
10/24/2024,$315.69,1326947,$314.43,$317.24,$313.63
10/23/2024,$314.90,1526505,$316.01,$318.55,$313.70
10/22/2024,$319.66,2106533,$315.24,$321.08,$313.98
10/21/2024,$316.74,1533183,$320.16,$321.80,$315.87
10/18/2024,$321.66,1552126,$320.61,$322.56,$319.18
10/17/2024,$321.33,1635581,$325.92,$325.92,$320.50
10/16/2024,$321.63,1776795,$326.20,$326.73,$321.32
10/15/2024,$325.09,1956202,$326.03,$327.3325,$324.03
10/14/2024,$324.62,1613451,$325.59,$326.95,$322.59
10/11/2024,$328.35,1567233,$322.20,$329.17,$320.1001
10/10/2024,$321.01,1254591,$320.95,$322.57,$318.7501
10/09/2024,$322.41,1379414,$316.66,$322.99,$314.70
10/08/2024,$317.68,1453273,$319.165,$319.95,$316.4775
10/07/2024,$317.45,1262262,$320.08,$320.205,$315.92
10/04/2024,$319.66,1467846,$318.72,$320.74,$316.43
10/03/2024,$317.48,1525282,$317.11,$319.73,$315.46
10/02/2024,$319.73,2614461,$317.63,$320.67,$316.18
10/01/2024,$320.32,2097370,$322.05,$322.2043,$316.92
09/30/2024,$322.21,1967178,$321.32,$323.225,$318.79
09/27/2024,$322.67,2432807,$322.70,$327.98,$320.525
09/26/2024,$319.10,2555660,$313.68,$319.78,$313.37
09/25/2024,$312.86,4249503,$329.00,$329.50,$312.16
09/24/2024,$330.92,2101019,$333.15,$335.41,$330.50
09/23/2024,$335.61,1677617,$339.00,$339.17,$333.36
09/20/2024,$337.38,4068245,$335.15,$338.97,$334.2745
09/19/2024,$335.95,1626234,$337.03,$338.70,$334.6101
09/18/2024,$332.92,1366760,$333.93,$339.00,$331.00
09/17/2024,$332.80,2014219,$334.58,$334.58,$331.08
09/16/2024,$335.26,2360577,$335.84,$337.56,$332.915
09/13/2024,$332.45,1397014,$327.96,$334.45,$327.15
09/12/2024,$330.06,1590429,$330.22,$332.375,$326.41
09/11/2024,$329.98,1711022,$327.81,$330.65,$320.30
09/10/2024,$328.93,1408610,$327.00,$329.23,$322.3901
09/09/2024,$325.92,1707801,$322.52,$327.805,$320.10
09/06/2024,$320.56,2242451,$324.70,$326.97,$319.00
09/05/2024,$324.36,1977361,$330.90,$331.86,$321.91
09/04/2024,$330.64,1622148,$329.93,$331.0999,$327.598
09/03/2024,$330.51,2120545,$331.89,$333.14,$329.10
08/30/2024,$333.83,2173548,$331.95,$335.66,$330.305
08/29/2024,$331.01,1294361,$331.67,$334.27,$329.25
08/28/2024,$329.49,1444186,$325.94,$330.505,$325.39
08/27/2024,$326.93,1444360,$328.42,$329.83,$325.578
08/26/2024,$326.78,1769956,$328.41,$330.26,$325.50
08/23/2024,$328.80,1771092,$326.27,$331.29,$325.38
08/22/2024,$324.53,2171970,$329.50,$329.50,$323.12
08/21/2024,$329.15,1138272,$329.55,$330.99,$327.91
08/20/2024,$328.55,1352600,$328.12,$330.50,$326.62
08/19/2024,$327.97,1214252,$321.46,$328.18,$321.41
08/16/2024,$321.44,1442483,$323.65,$324.82,$320.50
08/15/2024,$325.39,1886982,$323.88,$327.16,$321.94
08/14/2024,$322.73,1656123,$320.43,$324.36,$319.56
08/13/2024,$323.45,1632813,$321.78,$324.00,$319.17
08/12/2024,$320.00,1828671,$323.90,$323.90,$317.93
08/09/2024,$322.49,1786545,$323.75,$325.04,$319.325
08/08/2024,$324.69,2746667,$314.00,$325.12,$312.79
08/07/2024,$312.50,4618377,$320.99,$323.00,$306.59
08/06/2024,$328.95,2436489,$325.23,$332.98,$323.52
08/05/2024,$325.22,2975133,$332.72,$333.34,$321.41
08/02/2024,$333.99,2106216,$337.42,$338.35,$325.73
08/01/2024,$335.53,2387652,$336.09,$340.89,$333.46
07/31/2024,$332.47,2120545,$331.55,$336.405,$330.57
07/30/2024,$333.28,1583991,$333.00,$338.57,$331.67
07/29/2024,$332.51,1611168,$334.08,$334.84,$331.295
07/26/2024,$334.85,1515471,$334.56,$338.94,$333.28
07/25/2024,$334.30,2435727,$335.99,$346.85,$333.02
07/24/2024,$335.61,2459389,$333.25,$337.18,$330.34
07/23/2024,$333.24,1458270,$334.36,$337.04,$331.31
07/22/2024,$335.97,1733695,$333.23,$337.09,$332.47
07/19/2024,$331.29,1848897,$333.65,$333.98,$328.43
07/18/2024,$330.97,2228392,$334.20,$338.98,$330.67
07/17/2024,$335.67,1933188,$330.00,$336.61,$328.60
07/16/2024,$333.14,1879457,$330.46,$335.91,$328.00
07/15/2024,$330.15,1688833,$331.88,$332.81,$327.87
07/12/2024,$330.83,2191328,$327.82,$333.85,$326.0102
07/11/2024,$325.09,2254266,$322.00,$327.9899,$320.18
07/10/2024,$321.67,2192177,$317.06,$322.88,$314.635
07/09/2024,$315.91,1852588,$311.62,$316.085,$307.63
07/08/2024,$311.46,1167252,$311.36,$315.48,$310.61
07/05/2024,$310.88,1274377,$311.03,$313.41,$308.57
07/03/2024,$309.38,1000711,$311.49,$312.5399,$306.11
07/02/2024,$310.77,1542804,$310.25,$312.43,$307.64
07/01/2024,$311.01,1769413,$313.34,$319.00,$310.23
06/28/2024,$312.45,3518174,$313.70,$316.675,$310.59
06/27/2024,$313.69,2082203,$311.73,$316.79,$310.72
06/26/2024,$312.82,2800189,$317.18,$317.485,$311.72
