Date,Close/Last,Volume,Open,High,Low
01/27/2025,$202.13,90569380,$213.40,$218.43,$196.23
01/24/2025,$244.70,25387830,$244.70,$249.59,$241.91
01/23/2025,$240.28,17653940,$238.41,$240.40,$236.12
01/22/2025,$240.91,29610500,$246.75,$246.99,$240.69
01/21/2025,$240.31,30903190,$241.50,$242.75,$237.40
01/17/2025,$237.44,31196640,$237.08,$238.10,$232.66
01/16/2025,$229.41,23471870,$235.22,$238.60,$229.21
01/15/2025,$228.00,21745620,$228.55,$230.34,$225.58
01/14/2025,$224.70,18143120,$226.57,$230.26,$223.10
01/13/2025,$225.29,23772090,$219.99,$229.26,$219.51
01/10/2025,$224.31,23864010,$227.30,$227.83,$221.25
01/08/2025,$229.31,18756490,$229.70,$232.47,$226.06
01/07/2025,$228.64,25928610,$239.50,$239.50,$227.60
01/06/2025,$236.41,34028380,$236.50,$241.75,$233.30
01/03/2025,$232.55,24973190,$233.59,$236.4893,$229.00
01/02/2025,$231.98,31525830,$236.155,$239.50,$230.2425
12/31/2024,$231.84,17927720,$235.88,$237.46,$231.31
12/30/2024,$235.58,27316800,$234.695,$238.77,$231.62
12/27/2024,$241.75,29282230,$245.64,$245.78,$236.3532
12/26/2024,$245.36,28537540,$240.00,$247.28,$237.60
12/24/2024,$239.68,22827190,$240.115,$240.228,$234.80
12/23/2024,$232.35,40643780,$226.69,$233.3994,$225.13
12/20/2024,$220.79,131910400,$220.36,$230.29,$218.91
12/19/2024,$218.32,40845170,$227.91,$228.05,$217.58
12/18/2024,$223.62,53960100,$239.41,$239.85,$219.22
12/17/2024,$240.23,70382130,$240.65,$242.47,$233.80
12/16/2024,$250.00,111623200,$231.79,$251.88,$230.81
12/13/2024,$224.80,121336600,$213.90,$228.70,$211.11
12/12/2024,$180.66,46967170,$180.93,$182.00,$175.99
12/11/2024,$183.20,41295180,$180.01,$184.87,$176.4296
12/10/2024,$171.81,27762630,$177.81,$178.50,$169.73
12/09/2024,$178.94,20886310,$178.95,$180.7933,$176.0209
12/06/2024,$179.53,27830830,$170.10,$180.68,$169.3301
12/05/2024,$170.47,18489990,$170.75,$172.3981,$169.20
12/04/2024,$170.56,32748250,$173.44,$175.39,$168.56
12/03/2024,$168.15,17024430,$164.48,$168.27,$164.03
12/02/2024,$166.51,21472440,$162.95,$168.3797,$162.75
11/29/2024,$162.08,11024010,$159.57,$162.69,$159.08
11/27/2024,$159.67,19722720,$163.20,$163.20,$157.54
11/26/2024,$164.74,16308770,$164.60,$166.37,$162.69
