Date,Close/Last,Volume,Open,High,Low
01/27/2025,$38.23,24497920,$37.57,$38.40,$37.56
01/24/2025,$37.62,18256170,$37.36,$37.64,$37.28
01/23/2025,$37.47,17469180,$37.27,$37.535,$36.91
01/22/2025,$37.11,21121080,$36.86,$37.20,$36.51
01/21/2025,$36.97,21125860,$36.58,$37.25,$36.54
01/17/2025,$36.58,22040300,$36.75,$36.91,$36.45
01/16/2025,$36.31,21114140,$36.52,$36.64,$36.27
01/15/2025,$36.50,22268500,$36.77,$36.85,$36.28
01/14/2025,$36.38,25100070,$36.63,$36.64,$36.15
01/13/2025,$36.45,19973260,$36.51,$36.72,$36.25
01/10/2025,$36.36,27687010,$36.792,$37.165,$36.32
01/08/2025,$37.17,27293620,$36.78,$37.24,$36.24
01/07/2025,$37.18,16527600,$37.44,$37.765,$37.01
01/06/2025,$37.49,31417810,$37.34,$38.16,$37.29
01/03/2025,$37.67,20335580,$37.62,$37.74,$37.37
01/02/2025,$37.42,28786110,$37.80,$37.95,$37.20
12/31/2024,$37.53,13705290,$37.31,$37.595,$37.235
12/30/2024,$37.39,23728320,$37.78,$37.88,$37.11
12/27/2024,$37.93,15394230,$37.84,$38.2497,$37.69
12/26/2024,$38.25,10860730,$38.25,$38.455,$38.09
12/24/2024,$38.40,7493087,$37.85,$38.42,$37.71
12/23/2024,$37.98,16681360,$38.03,$38.21,$37.67
12/20/2024,$38.22,60040080,$37.59,$38.31,$37.31
12/19/2024,$37.40,22646550,$37.95,$38.04,$37.25
12/18/2024,$37.86,22644590,$38.546,$38.94,$37.79
12/17/2024,$38.80,19193100,$38.87,$39.12,$38.56
12/16/2024,$38.86,20182820,$39.094,$39.745,$38.79
12/13/2024,$39.92,18032630,$39.75,$40.20,$39.66
12/12/2024,$40.24,22465510,$39.92,$40.37,$39.83
12/11/2024,$39.71,23922880,$39.465,$39.84,$39.42
12/10/2024,$39.53,28678090,$39.07,$39.79,$38.53
12/09/2024,$39.05,45253850,$43.21,$43.30,$38.76
12/06/2024,$43.15,15608590,$42.75,$43.19,$42.73
12/05/2024,$42.79,13615050,$42.61,$42.975,$42.46
12/04/2024,$42.55,14621000,$42.71,$42.973,$42.38
12/03/2024,$42.86,14352200,$43.22,$43.45,$42.825
12/02/2024,$43.29,16253460,$43.01,$43.31,$42.68
11/29/2024,$43.19,9556976,$42.46,$43.27,$42.42
11/27/2024,$42.56,16236130,$42.61,$43.04,$42.53
11/26/2024,$42.64,18392630,$43.00,$43.26,$42.44
11/25/2024,$43.20,23525960,$43.92,$44.03,$43.13
11/22/2024,$43.47,10637300,$43.26,$43.72,$43.16
11/21/2024,$43.50,15647160,$43.10,$43.73,$42.51
11/20/2024,$42.99,21068590,$42.75,$43.02,$41.99
11/19/2024,$42.32,29279270,$42.60,$42.77,$42.31
11/18/2024,$43.00,19101320,$42.85,$43.215,$42.75
11/15/2024,$42.88,18344400,$43.48,$43.82,$42.58
11/14/2024,$43.48,20179020,$43.91,$44.06,$43.19
11/13/2024,$43.91,11593410,$43.66,$44.19,$43.51
11/12/2024,$44.04,13411890,$43.90,$44.20,$43.845
11/11/2024,$44.20,11088930,$43.96,$44.63,$43.9123
11/08/2024,$43.91,23019740,$44.16,$44.39,$43.655
11/07/2024,$44.19,17151780,$44.97,$45.00,$44.15
11/06/2024,$45.14,31072520,$43.83,$45.22,$43.43
11/05/2024,$42.56,16783160,$42.74,$43.06,$42.32
11/04/2024,$42.53,21753160,$43.69,$43.765,$42.49
11/01/2024,$43.56,25078460,$44.35,$44.68,$43.49
10/31/2024,$43.67,35198350,$45.205,$45.31,$42.835
10/30/2024,$42.24,27530380,$41.82,$42.47,$41.805
10/29/2024,$42.07,21091460,$41.77,$42.49,$41.735
10/28/2024,$41.84,19062510,$41.62,$41.96,$41.62
10/25/2024,$41.66,19363500,$42.06,$42.60,$41.62
10/24/2024,$41.65,16562790,$41.79,$42.00,$41.335
10/23/2024,$41.55,16411690,$41.53,$41.92,$41.22
10/22/2024,$41.545,18594710,$40.67,$42.30,$40.57
10/21/2024,$40.53,16333500,$41.96,$41.975,$40.46
10/18/2024,$41.93,14188180,$41.95,$42.37,$41.87
10/17/2024,$42.23,16288140,$42.58,$42.75,$41.65
10/16/2024,$42.25,11768010,$42.24,$42.61,$42.213
10/15/2024,$42.11,14841690,$41.88,$42.7669,$41.88
10/14/2024,$41.97,12121040,$41.36,$42.045,$41.30
10/11/2024,$41.26,10447760,$41.17,$41.48,$41.08
10/10/2024,$41.10,11975760,$41.52,$41.95,$41.05
10/09/2024,$41.40,11396570,$40.96,$41.44,$40.76
10/08/2024,$40.95,18173500,$40.57,$41.03,$40.38
10/07/2024,$40.56,17063060,$40.94,$41.19,$40.52
10/04/2024,$41.19,13697490,$40.89,$41.36,$40.66
10/03/2024,$40.81,10457610,$41.03,$41.12,$40.53
10/02/2024,$41.30,11124410,$41.39,$41.855,$41.25
10/01/2024,$41.70,18226380,$41.625,$41.97,$41.17
09/30/2024,$41.77,22382690,$41.75,$41.90,$41.30
09/27/2024,$41.64,17491240,$41.23,$42.08,$41.1901
09/26/2024,$41.02,19316720,$40.71,$41.075,$40.655
09/25/2024,$40.59,24054860,$41.30,$41.31,$40.525
09/24/2024,$41.35,24195550,$40.83,$41.475,$40.615
09/23/2024,$40.73,21977300,$40.21,$40.92,$40.12
09/20/2024,$40.11,59666400,$40.22,$40.64,$39.94
09/19/2024,$40.27,16867400,$40.36,$41.07,$40.145
09/18/2024,$39.82,17279080,$39.36,$40.11,$38.50
09/17/2024,$39.28,13113220,$39.55,$39.82,$39.22
09/16/2024,$39.36,16731020,$39.79,$40.05,$39.19
09/13/2024,$39.55,13100500,$39.31,$39.89,$39.23
09/12/2024,$39.31,17059380,$38.87,$39.325,$38.505
09/11/2024,$38.68,16883350,$39.14,$39.14,$38.14
09/10/2024,$39.14,13752430,$39.82,$39.96,$38.91
09/09/2024,$39.72,13590820,$39.74,$40.03,$38.95
09/06/2024,$39.61,18549210,$39.80,$40.35,$39.49
09/05/2024,$39.80,19033720,$38.91,$39.825,$38.88
09/04/2024,$38.67,24534660,$39.70,$40.175,$38.40
09/03/2024,$39.50,18351110,$39.68,$39.885,$39.41
08/30/2024,$39.57,25874920,$39.73,$39.73,$39.17
08/29/2024,$39.46,22626410,$40.02,$40.08,$39.395
08/28/2024,$39.93,11219790,$40.25,$40.35,$39.91
08/27/2024,$40.24,13067630,$40.17,$40.54,$40.1401
08/26/2024,$40.25,11122350,$40.02,$40.455,$39.86
08/23/2024,$39.82,11682160,$39.63,$39.94,$39.49
08/22/2024,$39.41,9263084,$40.10,$40.10,$39.18
08/21/2024,$39.94,12748070,$40.23,$40.30,$39.8046
08/20/2024,$40.03,13552680,$40.05,$40.28,$39.965
08/19/2024,$40.26,13280650,$39.47,$40.31,$39.47
08/16/2024,$39.62,14170220,$39.64,$39.83,$39.50
08/15/2024,$39.52,17290990,$39.28,$39.54,$38.925
08/14/2024,$39.01,17941850,$38.78,$39.12,$38.77
08/13/2024,$39.12,14022580,$38.90,$39.259,$38.68
08/12/2024,$38.53,12209360,$39.00,$39.10,$38.47
08/09/2024,$39.08,13999550,$39.07,$39.3692,$38.701
08/08/2024,$39.35,13668050,$38.46,$39.435,$38.44
08/07/2024,$38.51,16744180,$39.19,$39.605,$38.465
08/06/2024,$38.92,15853770,$38.90,$39.45,$38.73
08/05/2024,$39.18,21390800,$40.18,$40.52,$38.61
08/02/2024,$39.90,25951670,$40.87,$41.14,$39.84
08/01/2024,$40.26,21797020,$41.25,$41.42,$40.21
07/31/2024,$41.27,24873190,$40.76,$41.63,$40.68
