Date,Close/Last,Volume,Open,High,Low
01/27/2025,$965.25,3044682,$930.00,$966.99,$927.1801
01/24/2025,$939.68,1562422,$942.16,$946.0404,$933.555
01/23/2025,$942.16,1352440,$941.69,$943.39,$936.485
01/22/2025,$944.70,2154991,$951.225,$951.94,$939.24
01/21/2025,$947.73,2042443,$945.25,$956.55,$943.50
01/17/2025,$943.19,2375012,$930.00,$943.80,$924.565
01/16/2025,$919.75,1352957,$924.73,$927.40,$917.82
01/15/2025,$923.50,1839386,$927.26,$932.87,$918.3001
01/14/2025,$917.23,1683757,$924.30,$927.7616,$909.918
01/13/2025,$924.70,1693763,$934.00,$934.99,$921.00
01/10/2025,$936.94,2765797,$933.36,$944.28,$923.50
01/08/2025,$927.37,1774763,$922.975,$930.4999,$915.415
01/07/2025,$921.37,1887982,$923.84,$931.305,$916.43
01/06/2025,$922.71,1970405,$917.98,$927.4099,$913.27
01/03/2025,$916.58,1614211,$914.33,$924.21,$911.0001
01/02/2025,$909.81,1767658,$915.00,$925.77,$902.00
12/31/2024,$916.27,1742939,$923.65,$924.739,$912.54
12/30/2024,$922.21,1881241,$931.00,$934.17,$915.50
12/27/2024,$939.70,1943440,$948.72,$950.45,$932.0001
12/26/2024,$956.14,969936,$956.82,$959.41,$954.00
12/24/2024,$958.82,939029,$950.74,$959.38,$945.45
12/23/2024,$949.91,1856831,$953.88,$954.255,$937.00
12/20/2024,$954.07,5373797,$949.39,$961.9414,$943.05
12/19/2024,$954.80,2610843,$974.51,$974.64,$953.51
12/18/2024,$964.74,2725300,$982.00,$985.60,$964.00
12/17/2024,$982.08,2050219,$994.00,$996.92,$980.76
12/16/2024,$992.87,2581292,$989.045,$1008.25,$986.37
12/13/2024,$989.35,2951921,$981.00,$1006.6799,$965.73
12/12/2024,$988.39,2344334,$1001.68,$1002.47,$987.21
12/11/2024,$994.69,1903635,$995.00,$1007.80,$993.59
12/10/2024,$993.40,1556751,$989.73,$994.99,$985.8825
12/09/2024,$987.86,1855470,$997.01,$997.01,$980.50
12/06/2024,$992.61,1737317,$982.26,$997.7068,$982.26
12/05/2024,$982.26,2089430,$986.66,$990.13,$978.20
12/04/2024,$990.92,1784687,$982.00,$991.15,$977.55
12/03/2024,$982.15,1653910,$974.69,$983.00,$970.76
12/02/2024,$975.00,1955774,$971.36,$976.50,$964.76
11/29/2024,$971.88,1095860,$968.09,$973.27,$962.4671
11/27/2024,$961.55,1499464,$971.46,$972.29,$958.59
11/26/2024,$971.50,1438037,$964.00,$974.37,$960.89
11/25/2024,$960.89,3240929,$975.00,$975.00,$949.69
