Date,Close/Last,Volume,Open,High,Low
01/27/2025,$191.81,41728890,$192.41,$196.88,$190.73
01/24/2025,$200.21,23877520,$198.10,$200.90,$198.00
01/23/2025,$197.98,26951360,$198.14,$200.30,$195.20
01/22/2025,$198.37,26200620,$199.06,$200.48,$197.53
01/21/2025,$198.05,29971290,$199.07,$202.29,$197.87
01/17/2025,$196.00,27735090,$196.53,$197.23,$193.75
01/16/2025,$192.91,17815430,$194.14,$195.48,$192.81
01/15/2025,$195.55,21775970,$193.09,$196.36,$191.86
01/14/2025,$189.66,17174850,$191.24,$191.98,$188.3082
01/13/2025,$191.01,21823700,$190.07,$191.18,$187.36
01/10/2025,$192.04,26665210,$194.295,$196.52,$190.31
01/08/2025,$193.95,24864770,$192.57,$196.29,$192.38
01/07/2025,$195.49,26487240,$197.11,$201.00,$194.60
01/06/2025,$196.87,29563640,$193.98,$198.2222,$193.85
01/03/2025,$191.79,18596160,$191.37,$193.21,$189.975
01/02/2025,$189.43,20370830,$190.65,$192.00,$187.50
12/31/2024,$189.30,17466920,$191.075,$191.96,$188.51
12/30/2024,$191.24,14264660,$189.80,$192.55,$189.12
12/27/2024,$192.76,18891360,$194.95,$195.32,$190.65
12/26/2024,$195.60,12057210,$195.15,$196.748,$194.375
12/24/2024,$196.11,10403260,$194.84,$196.11,$193.78
12/23/2024,$194.63,25675010,$192.62,$195.10,$190.15
12/20/2024,$191.41,63462930,$185.78,$192.89,$185.22
12/19/2024,$188.51,32265240,$191.625,$193.03,$188.38
12/18/2024,$188.40,34166070,$195.22,$197.00,$187.74
12/17/2024,$195.42,43504030,$197.25,$201.42,$194.98
12/16/2024,$196.66,44934900,$192.87,$199.00,$192.62
12/13/2024,$189.82,25143500,$191.01,$192.73,$189.64
12/12/2024,$191.96,34817490,$195.00,$195.18,$191.71
12/11/2024,$195.40,67894070,$185.31,$195.61,$184.85
12/10/2024,$185.17,54813020,$182.845,$186.36,$181.05
12/09/2024,$175.37,25389630,$173.96,$176.26,$173.65
12/06/2024,$174.71,21462390,$172.03,$175.08,$171.86
12/05/2024,$172.64,21356240,$175.36,$176.06,$172.33
12/04/2024,$174.37,31615140,$171.145,$174.91,$171.06
12/03/2024,$171.34,22248710,$171.49,$172.68,$170.85
12/02/2024,$171.49,23789080,$168.765,$172.075,$168.57
11/29/2024,$168.95,14257240,$168.50,$169.43,$167.16
11/27/2024,$169.23,19266510,$169.00,$169.4832,$168.02
11/26/2024,$169.12,20486720,$167.63,$169.82,$167.58
11/25/2024,$167.65,33135260,$166.09,$168.63,$165.6072
11/22/2024,$164.76,38604590,$165.85,$166.46,$163.90
11/21/2024,$167.63,59734380,$173.90,$174.13,$163.70
11/20/2024,$175.98,18997110,$177.34,$177.675,$173.78
11/19/2024,$178.12,23434930,$173.72,$178.87,$173.56
11/18/2024,$175.30,20206610,$173.42,$175.438,$172.90
11/15/2024,$172.49,32504650,$173.73,$174.14,$171.22
11/14/2024,$175.58,31007460,$178.28,$178.82,$174.3218
11/13/2024,$178.88,23184000,$180.46,$180.96,$178.54
11/12/2024,$181.62,25134910,$179.82,$182.49,$179.39
11/11/2024,$180.35,17450350,$178.58,$180.545,$178.47
11/08/2024,$178.35,22006180,$180.645,$180.90,$178.08
11/07/2024,$180.75,25352940,$177.41,$181.08,$177.19
11/06/2024,$176.51,33695540,$173.80,$176.94,$173.50
11/05/2024,$169.74,18242050,$169.43,$170.53,$168.84
11/04/2024,$169.24,21492740,$169.93,$170.73,$168.011
11/01/2024,$171.29,31796480,$170.07,$172.32,$168.88
10/31/2024,$171.11,44768980,$173.13,$176.82,$171.00
10/30/2024,$174.46,68890790,$180.68,$182.02,$174.0599
10/29/2024,$169.68,42169030,$167.73,$170.38,$167.0896
10/28/2024,$166.72,32138640,$168.75,$168.75,$163.95
10/25/2024,$165.27,19828880,$163.67,$165.59,$163.42
10/24/2024,$162.72,22412530,$162.83,$163.33,$161.01
10/23/2024,$162.78,18280520,$164.76,$165.82,$161.925
10/22/2024,$165.14,16568120,$162.98,$165.77,$162.98
10/21/2024,$164.07,20946460,$162.95,$164.50,$162.62
10/18/2024,$163.42,19757660,$163.19,$164.71,$163.08
10/17/2024,$162.93,21453400,$165.73,$166.37,$162.76
10/16/2024,$165.16,16406030,$164.53,$165.80,$163.74
10/15/2024,$165.46,20247200,$165.785,$167.68,$164.625
10/14/2024,$164.96,19016140,$163.64,$166.226,$163.40
10/11/2024,$163.24,15344250,$162.13,$163.90,$161.235
10/10/2024,$162.08,14144070,$160.87,$163.07,$160.395
10/09/2024,$161.86,31181770,$163.45,$164.84,$159.74
10/08/2024,$164.38,23072730,$163.94,$164.725,$162.87
10/07/2024,$162.98,22463140,$167.72,$168.48,$162.75
10/04/2024,$167.06,19093720,$168.06,$168.23,$165.48
10/03/2024,$165.86,15073100,$164.41,$166.64,$163.923
10/02/2024,$165.86,17760180,$166.42,$167.52,$164.73
