Date,Close/Last,Volume,Open,High,Low
01/27/2025,$90.24,6923826,$87.545,$90.29,$87.39
01/24/2025,$89.11,6004674,$89.59,$90.024,$88.84
01/23/2025,$89.73,7540610,$89.76,$89.78,$88.24
01/22/2025,$89.85,7345739,$90.00,$90.37,$89.1398
01/21/2025,$89.77,12629340,$92.21,$92.21,$89.39
01/17/2025,$91.81,16499700,$90.76,$93.245,$90.005
01/16/2025,$88.92,5816351,$89.96,$90.373,$88.85
01/15/2025,$89.64,10024080,$88.72,$90.19,$88.47
01/14/2025,$87.18,8958442,$85.29,$87.40,$84.75
01/13/2025,$83.99,7402380,$82.19,$84.12,$81.79
01/10/2025,$83.36,11341220,$86.79,$87.09,$82.24
01/08/2025,$87.94,7400030,$88.06,$88.23,$86.79
01/07/2025,$87.97,6080796,$89.53,$89.97,$87.60
01/06/2025,$89.53,7869184,$88.02,$90.09,$87.72
01/03/2025,$87.60,6136427,$86.73,$87.70,$86.31
01/02/2025,$86.18,6227776,$85.835,$86.94,$84.82
12/31/2024,$85.35,4533202,$85.735,$85.90,$85.05
12/30/2024,$85.43,5855039,$85.69,$86.0675,$84.66
12/27/2024,$86.86,5124993,$87.36,$87.655,$86.2027
12/26/2024,$88.14,4802170,$87.60,$88.73,$87.26
12/24/2024,$88.25,3276344,$86.90,$88.33,$86.59
12/23/2024,$86.90,5633131,$86.47,$87.24,$85.97
12/20/2024,$87.13,22052710,$84.91,$88.23,$84.50
12/19/2024,$86.78,9522428,$86.28,$88.42,$86.16
12/18/2024,$85.45,12583700,$90.695,$91.09,$85.1764
12/17/2024,$90.86,8395584,$90.90,$92.00,$90.23
12/16/2024,$91.30,7402470,$90.79,$91.46,$89.52
12/13/2024,$91.02,8358050,$90.42,$91.185,$89.82
12/12/2024,$89.40,4711138,$90.43,$91.17,$89.335
12/11/2024,$90.75,6657199,$88.62,$91.03,$87.84
12/10/2024,$88.76,6697466,$89.94,$90.00,$88.375
12/09/2024,$90.00,10714200,$92.25,$93.66,$89.73
12/06/2024,$89.88,6955544,$89.49,$90.04,$88.545
12/05/2024,$89.045,9025551,$89.59,$90.27,$88.27
12/04/2024,$89.33,15535960,$85.68,$90.14,$85.24
12/03/2024,$85.14,8189778,$86.40,$86.40,$84.615
12/02/2024,$86.53,7273536,$86.55,$87.47,$85.84
11/29/2024,$86.77,4469740,$86.39,$87.08,$85.82
11/27/2024,$86.57,5477894,$87.55,$87.66,$86.27
11/26/2024,$86.94,5610415,$87.40,$88.18,$86.90
