Date,Close/Last,Volume,Open,High,Low
01/27/2025,$187.03,11771290,$185.75,$190.09,$183.70
01/24/2025,$185.52,15856580,$190.00,$191.50,$185.03
01/23/2025,$200.61,12694740,$194.82,$200.637,$193.81
01/22/2025,$197.05,8222049,$195.77,$198.68,$195.30
01/21/2025,$195.23,9621746,$191.67,$196.50,$191.60
01/17/2025,$192.42,5407529,$192.54,$192.93,$190.02
01/16/2025,$187.37,7463259,$195.17,$195.4758,$187.14
01/15/2025,$197.51,6288963,$195.67,$198.95,$195.67
01/14/2025,$193.50,4254175,$191.54,$193.61,$190.18
01/13/2025,$191.09,4799620,$189.83,$191.755,$187.65
01/10/2025,$190.15,7223871,$192.91,$192.91,$188.415
01/08/2025,$191.66,4230380,$191.80,$192.69,$188.07
01/07/2025,$192.21,5035624,$193.82,$195.01,$191.085
01/06/2025,$192.18,4682424,$190.245,$193.77,$189.2388
01/03/2025,$190.51,4574144,$188.93,$191.14,$187.2001
01/02/2025,$186.95,4503470,$189.32,$190.13,$184.97
12/31/2024,$187.51,3050490,$188.66,$189.10,$186.06
12/30/2024,$187.96,4065288,$189.69,$189.69,$187.205
12/27/2024,$191.18,3253623,$190.44,$191.78,$189.685
12/26/2024,$191.73,2019692,$190.61,$192.72,$190.52
12/24/2024,$192.44,1950853,$190.49,$192.47,$190.47
12/23/2024,$190.14,4297589,$186.03,$190.42,$186.03
12/20/2024,$186.87,11462050,$184.47,$188.47,$183.35
12/19/2024,$184.47,6289970,$186.89,$187.36,$183.8801
12/18/2024,$185.00,8281926,$188.45,$192.36,$184.81
12/17/2024,$188.12,5046079,$189.12,$191.50,$187.51
12/16/2024,$189.46,5829659,$191.86,$191.98,$189.18
12/13/2024,$191.59,4773138,$188.81,$192.23,$188.30
12/12/2024,$191.71,4025621,$190.502,$192.26,$189.60
12/11/2024,$191.70,6057791,$192.14,$192.97,$190.21
12/10/2024,$190.18,6064238,$193.33,$193.69,$189.44
12/09/2024,$193.45,3880495,$192.03,$197.81,$191.6014
12/06/2024,$193.10,5140799,$193.66,$195.1361,$192.597
12/05/2024,$192.99,6049096,$195.75,$197.1499,$192.21
12/04/2024,$196.65,7172611,$197.70,$198.47,$195.61
12/03/2024,$197.23,4743419,$198.66,$199.97,$197.00
12/02/2024,$201.78,6374195,$199.78,$202.41,$198.48
11/29/2024,$201.03,3167423,$200.08,$202.51,$199.70
11/27/2024,$199.19,4732175,$200.64,$201.42,$197.65
11/26/2024,$200.95,5260495,$205.996,$206.91,$199.15
11/25/2024,$202.93,9274398,$201.43,$204.14,$199.96
11/22/2024,$198.00,7861395,$197.77,$198.91,$196.50
11/21/2024,$198.20,8080302,$198.25,$200.43,$195.90
11/20/2024,$198.19,7344446,$198.08,$199.60,$196.47
11/19/2024,$201.07,6716028,$205.89,$206.33,$200.99
11/18/2024,$207.18,7912927,$202.20,$207.67,$201.53
11/15/2024,$201.12,5970371,$203.85,$204.77,$200.28
